fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt,dep_lat,dep_lon,arr_lat,arr_lon
NIDARO,Skjervøy,Blokken,2022-01-03 13:33:00+00:00,2022-01-04 09:00:00+00:00,70.1709973,20.6989897,73.8,-24.5383333
NORSEA FIGHTER,Brattvåg,Tomrefjord,2022-01-03 16:00:00+00:00,2022-01-04 08:00:00+00:00,62.599812,6.444248,62.584113,6.9328515
INTER BARENTS,Rypefjord,Alta,2022-01-03 10:30:00+00:00,2022-01-03 15:30:00+00:00,70.6412939,23.6718242,55.001251,-115.002136
HOURAI MARU,Kårstø,Brunsbüttel,2022-01-06 04:00:00+00:00,2022-01-07 09:00:00+00:00,59.279274,5.524468,53.8972549,9.1395423
RONJA KVALOY,Frøysjøen,Steinsvika - Volda,2022-01-03 22:59:00+00:00,2022-01-04 08:00:00+00:00,61.777507,5.0461575,62.0045009,5.8533506
STORNES,Lessremman,Elnesvågen,2022-01-10 04:30:00+00:00,2022-01-11 07:30:00+00:00,,,62.8533303,7.1550965
TRANS CARRIER,Kristiansund,Husøy - Karmøy,2022-01-07 05:45:00+00:00,2022-01-08 05:50:00+00:00,63.2168194,7.545259,59.3403428,5.3070642
FITNES,Jelsa,Dirdal,2022-01-01 11:30:00+00:00,2022-01-01 15:30:00+00:00,43.1608097,16.6931431,58.8345393,6.1813181
NCL SVELGEN,Averøy,Orkanger,2022-01-02 14:50:00+00:00,2022-01-02 21:10:00+00:00,63.1371204,7.4323066,63.304819,9.8496676
BREIVIK JUNIOR,Florø,Ålesund,2022-01-01 17:00:00+00:00,2022-01-02 05:00:00+00:00,61.6002583,5.0349596,62.4802363,6.5550739
ROCKPIPER,Stavanger,Mekjarvik,2022-01-03 07:17:00+00:00,2022-01-03 08:45:00+00:00,58.9699675,5.7318101,59.0200721,5.6204134
BEATA,Rekefjord,Bekkeri,2022-01-02 12:00:00+00:00,2022-01-05 15:59:00+00:00,58.3393981,6.260425,16.5211173,74.8102093
NORA THOMSEN,Storøya Øst,Hirtshals,2022-01-07 12:00:00+00:00,2022-01-08 10:59:00+00:00,,,57.5908031,9.9649737
VAITERE 2,Valsneset,Namsos,2022-01-05 21:30:00+00:00,2022-01-06 06:00:00+00:00,63.820758,9.636737,64.4666372,11.3345047
MARTIN H,Narvik,Hekkelstrand,2022-01-06 03:00:00+00:00,2022-01-06 04:30:00+00:00,68.4383796,17.4271978,68.3977308,16.8196993
TAUMAR,Ålesund,Koparnes,2022-01-05 19:30:00+00:00,2022-01-05 22:50:00+00:00,62.4802363,6.5550739,62.1708981,5.6400867
HORDAFOR VII,Hestvika,Lovund,2022-01-06 07:10:00+00:00,2022-01-07 00:00:00+00:00,63.5667052,9.1956069,66.3637329,12.3383562
AURORA EXPLORER,Tromsø,Tromsø,2022-01-06 08:00:00+00:00,2022-01-06 14:55:00+00:00,69.6516345,18.9558585,69.6516345,18.9558585
ASBJORN SELSBANE,Sommarøy,Barentshavet,2022-01-06 07:01:00+00:00,2022-01-06 10:02:00+00:00,68.9055138,15.0628639,74.3478217,37.809937
WITH JUNIOR,Bodø,Bogøy,2022-01-02 02:30:00+00:00,2022-01-02 06:30:00+00:00,67.3094783,13.915442,67.9032889,15.1831418
KAP FARVEL,Båtsfjord,Barentshavet,2022-01-04 17:00:00+00:00,2022-01-04 22:00:00+00:00,70.6142761,30.3274063,74.3478217,37.809937
SAFE ZEPHYRUS,Ågotnes,Nordsjøen,2022-01-09 18:00:00+00:00,2022-01-16 08:00:00+00:00,60.4042983,5.0024982,56.00276,3.000129
SVEASUND,Rørvik,Ålesund,2022-01-01 07:00:00+00:00,2022-01-02 05:30:00+00:00,64.8615745,11.2379128,62.4802363,6.5550739
KRISTINE BONNEVIE,Bergen,Nordsjøen,2022-01-07 10:30:00+00:00,2022-01-07 21:00:00+00:00,60.3943055,5.3259192,56.00276,3.000129
HAVILA FORESIGHT,Nordsjøen,Mongstadbase,2022-01-02 12:00:00+00:00,2022-01-02 17:00:00+00:00,56.00276,3.000129,,
